Tab,Address,Comment,RegisterFormat
Robot,134,Current_Power 当前功率【上位机:轮询读】,INT
Robot,150,0机器人急停1高度互锁2长度互锁3重量超载4下示教器急停5上示教器急停6主副轴偏差【上位机:轮询读】,BOOL
Robot,251,BottomRotatingAxisStatus J1轴状态【规范定义，上位机未读】,INT
Robot,252,MainLiftingAxisStatus J2轴状态【规范定义，上位机未读】,INT
Robot,253,AuxiliaryAxisStatus 辅助轴状态【规范定义，上位机未读】,INT
Robot,254,ExtensionAxis_1Status 伸缩臂1状态【规范定义，上位机未读】,INT
Robot,255,ExtensionAxis_2Status 伸缩臂2状态【规范定义，上位机未读】,INT
Robot,256,EndRotatingAxisStatus 末端轴状态【规范定义，上位机未读】,INT
Robot,257,LiftingAxis_1Status 起吊1状态【规范定义，上位机未读】,INT
Robot,258,LiftingAxis_2Status 起吊2状态【规范定义，上位机未读】,INT
Robot,259,LiftingAxis_3Status 起吊3状态【规范定义，上位机未读】,INT
Robot,260,LiftingAxis_1Torque 起吊1扭矩【规范定义，上位机未读】,LREAL
Robot,264,LiftingAxis_2Torque 起吊2扭矩【规范定义，上位机未读】,LREAL
Robot,268,LiftingAxis_3Torque 起吊3扭矩【规范定义，上位机未读】,LREAL
Robot,612,BigForceSensor_FX 大六维力FX【上位机:轮询读612~623 float对】,REAL
Robot,614,BigForceSensor_FY 大六维力FY【上位机:轮询读】,REAL
Robot,616,BigForceSensor_FZ 大六维力FZ【上位机:轮询读】,REAL
Robot,618,BigForceSensor_MX 大六维力MX【上位机:轮询读】,REAL
Robot,620,BigForceSensor_MY 大六维力MY【上位机:轮询读】,REAL
Robot,622,BigForceSensor_MZ 大六维力MZ【上位机:轮询读】,REAL
Robot,624,SmallForceSensor_FX 小六维力FX【上位机:轮询读624~635 float对】,REAL
Robot,626,SmallForceSensor_FY 小六维力FY【上位机:轮询读】,REAL
Robot,628,SmallForceSensor_FZ 小六维力FZ【上位机:轮询读】,REAL
Robot,630,SmallForceSensor_MX 小六维力MX【上位机:轮询读】,REAL
Robot,632,SmallForceSensor_MY 小六维力MY【上位机:轮询读】,REAL
Robot,634,SmallForceSensor_MZ 小六维力MZ【上位机:轮询读】,REAL
Robot,1000,AxisErrorCode1 故障码反馈 ARRAY[1..9] STRING【规范定义，上位机未读】,ARRAY [1..9] OF STRING
Robot,8192,TeachingInterlock 示教互锁设备号0下位1上位【上位机:读/写/写权限门控】,UINT
Robot,8193,TotalRuntimeSec_Lo 累计运行时间低字【上位机:读/写】,UINT
Robot,8194,TotalRuntimeSec_Hi 累计运行时间高字【上位机:读/写】,UINT
Robot,动态,TechSliderEdit 滑块写入地址按UI子控件顺序从0递增【上位机:读写】,UINT
Robot,动态,TechSliderLabel 标签读取地址按UI子控件顺序从100递增【上位机:读写】,UINT
